order_id,order_date,customer_id,customer_age,customer_gender,region,category,product,quantity,unit_price,discount_pct,total_price,payment_method,customer_rating
101488,2023-01-01,10359,18.0,Male,South,Books,Comic Book,1,7.73,0,7.73,Debit Card,3.0
103674,2023-01-01,10021,30.0,Male,South,Electronics,Tablet,3,435.43,10,1175.67,Debit Card,
102259,2023-01-01,10171,48.0,Male,Central,Sports,Tennis Racket,3,64.27,0,192.81,Debit Card,4.0
102316,2023-01-01,10500,58.0,Female,East,Electronics,Speaker,3,90.52,0,271.56,PayPal,4.0
102442,2023-01-01,10765,18.0,Male,Central,Sports,Dumbbells,3,37.24,15,94.95,Cash,3.0
101949,2023-01-02,10450,35.0,Male,North,Sports,Running Shoes,2,74.68,0,149.36,Cash,4.0
101996,2023-01-02,10909,23.0,Other,East,Sports,Bicycle,3,298.11,0,894.33,PayPal,3.0
101409,2023-01-02,10630,50.0,Female,East,Books,Self-Help Book,5,14.37,5,68.25,Debit Card,4.0
104691,2023-01-02,10007,29.0,Male,East,Home & Kitchen,Vacuum Cleaner,1,132.98,0,132.98,PayPal,2.0
101482,2023-01-02,11077,25.0,Male,South,Home & Kitchen,Air Fryer,1,78.34,0,78.34,Credit Card,3.0
104627,2023-01-03,10465,45.0,Male,South,Clothing,T-Shirt,3,16.03,5,45.69,Credit Card,3.0
103191,2023-01-03,10240,61.0,Male,North,Books,Comic Book,4,8.95,5,34.0,PayPal,4.0
101739,2023-01-03,10446,36.0,Female,Central,Sports,Bicycle,3,312.89,15,797.88,PayPal,4.0
101622,2023-01-03,11120,33.0,Female,North,Clothing,Jacket,3,89.78,15,228.93,Cash,5.0
104111,2023-01-03,10185,34.0,Male,South,Beauty,Lipstick,4,13.66,0,54.64,Debit Card,5.0
101913,2023-01-03,10354,30.0,Male,East,Books,Fiction Novel,3,14.67,10,39.6,Debit Card,3.0
100845,2023-01-04,11048,22.0,Male,South,Home & Kitchen,Blender,3,43.7,0,131.1,Credit Card,3.0
100773,2023-01-04,10491,33.0,Male,West,Clothing,T-Shirt,1,16.44,10,14.8,PayPal,4.0
100901,2023-01-04,11116,33.0,Male,East,Sports,Running Shoes,5,87.74,0,438.7,Gift Card,3.0
100381,2023-01-04,10199,23.0,Male,Central,Electronics,Headphones,2,61.51,20,98.42,PayPal,4.0
101294,2023-01-04,10882,44.0,Female,South,Beauty,Moisturizer,5,17.4,15,73.95,Credit Card,4.0
102646,2023-01-04,10646,37.0,Female,West,Clothing,Sneakers,2,81.1,0,162.2,Credit Card,2.0
100846,2023-01-04,10193,38.0,Female,Central,Beauty,Moisturizer,1,19.58,20,15.66,Credit Card,4.0
103217,2023-01-04,10707,18.0,Female,East,Beauty,Lipstick,1,18.65,20,14.92,Debit Card,4.0
102789,2023-01-04,11007,41.0,Female,West,Home & Kitchen,Air Fryer,2,111.05,10,199.88,PayPal,5.0
104598,2023-01-04,11011,25.0,Other,West,Clothing,Jeans,5,33.14,0,165.7,Debit Card,
102628,2023-01-04,10073,42.0,Female,Central,Beauty,Shampoo,4,11.01,0,44.04,Debit Card,3.0
101237,2023-01-04,10973,40.0,Male,East,Home & Kitchen,Vacuum Cleaner,2,138.81,0,277.62,Debit Card,5.0
101550,2023-01-04,10844,35.0,Female,East,Clothing,T-Shirt,4,13.48,5,51.24,Gift Card,4.0
103234,2023-01-04,10707,31.0,Female,West,Books,Cookbook,5,20.52,0,102.6,Debit Card,4.0
104885,2023-01-05,10294,34.0,Female,East,Clothing,Jacket,1,92.39,0,92.39,Debit Card,4.0
102401,2023-01-05,10894,49.0,Female,Central,Home & Kitchen,Air Fryer,1,76.77,20,61.42,PayPal,4.0
100465,2023-01-05,10237,51.0,Male,North,Electronics,Laptop,2,1072.12,0,2144.24,Gift Card,3.0
104055,2023-01-05,11160,32.0,Male,West,Sports,Dumbbells,4,43.43,20,138.96,Credit Card,5.0
102202,2023-01-06,10344,33.0,Female,South,Clothing,Hat,4,14.53,0,58.12,Debit Card,3.0
100575,2023-01-06,10856,40.0,Other,South,Clothing,Jeans,5,44.81,0,224.05,Cash,3.0
101190,2023-01-06,10558,56.0,Male,Central,Books,Comic Book,2,8.54,15,14.52,Credit Card,4.0
100104,2023-01-06,10599,26.0,Female,East,Books,Fiction Novel,2,14.69,20,23.5,Credit Card,5.0
104689,2023-01-06,10327,49.0,Female,North,Electronics,Tablet,4,262.13,20,838.8,Cash,4.0
104361,2023-01-06,10860,27.0,Male,North,Clothing,Jeans,3,49.4,10,133.38,PayPal,3.0
103399,2023-01-06,11073,,Female,East,Beauty,Perfume,2,54.06,0,108.12,PayPal,4.0
101279,2023-01-06,10046,27.0,Male,South,Sports,Tennis Racket,4,66.91,0,267.64,Credit Card,4.0
100707,2023-01-06,10494,39.0,Male,Central,Beauty,Sunscreen,2,15.45,5,29.36,Gift Card,3.0
101807,2023-01-07,10597,18.0,Male,North,Home & Kitchen,Cookware Set,1,113.36,0,113.36,PayPal,4.0
104131,2023-01-07,10676,31.0,Female,West,Electronics,Smartphone,1,548.96,0,548.96,Cash,4.0
104768,2023-01-07,10408,41.0,Male,East,Books,Cookbook,1,22.89,15,19.46,PayPal,4.0
102443,2023-01-07,10679,51.0,Male,North,Sports,Dumbbells,1,50.92,5,48.37,PayPal,4.0
101532,2023-01-07,10273,32.0,Male,North,Beauty,Perfume,3,54.18,0,162.54,PayPal,2.0
